region;country;year;population;TOTAL Actual DD;Actual DBD;Actual DCD;Total Utilized DD;Utilized DBD;Utilized DCD;DD Kidney Tx;LD Kidney Tx;TOTAL Kidney Tx;DD Liver Tx;DOMINO Liver Tx;LD Liver Tx;TOTAL Liver TX;Total Heart TX;DD Lung Tx;LD Lung Tx;TOTAL Lung Tx;Pancreas Tx;Kidney Pancreas Tx;Small Bowel Tx;TOTAL tx;development;idh;pmp_TOTAL tx;pmp_TOTAL Actual DD;pmp_Actual DBD;pmp_Actual DCD;pmp_Total Utilized DD;pmp_Utilized DBD;pmp_Utilized DCD;pmp_DD Kidney Tx;pmp_LD Kidney Tx;pmp_TOTAL Kidney Tx;pmp_DD Liver Tx;pmp_DOMINO Liver Tx;pmp_LD Liver Tx;pmp_TOTAL Liver TX;pmp_Total Heart TX;pmp_DD Lung Tx;pmp_LD Lung Tx;pmp_TOTAL Lung Tx;pmp_Pancreas Tx;pmp_Kidney Pancreas Tx;pmp_Small Bowel Tx;idx_region
Europe;Slovakia;2024;5,7;66,0;66,0;0,0;63,0;63,0;0,0;116,0;42,0;158,0;34,0;0,0;0,0;34,0;21,0;0,0;0,0;0,0;0,0;0,0;0,0;213,0;Very high human development;0,87;37,368421052631575;11,578947368421053;11,578947368421053;0,0;11,052631578947368;11,052631578947368;0,0;20,350877192982455;7,368421052631579;27,719298245614034;5,964912280701754;0,0;0,0;5,964912280701754;3,6842105263157894;0,0;0,0;0,0;0,0;0,0;0,0;1
Europe;Slovenia;2020;2,1;47,0;47,0;0,0;39,0;39,0;0,0;46,0;1,0;47,0;25,0;0,0;0,0;25,0;24,0;16,0;0,0;16,0;2,0;2,0;0,0;114,0;Very high human development;0,918;54,285714285714285;22,38095238095238;22,38095238095238;0,0;18,57142857142857;18,57142857142857;0,0;21,904761904761905;0,47619047619047616;22,38095238095238;11,904761904761905;0,0;0,0;11,904761904761905;11,428571428571429;7,619047619047619;0,0;7,619047619047619;0,9523809523809523;0,9523809523809523;0,0;1
Europe;Slovenia;2021;2,1;41,0;41,0;0,0;39,0;39,0;0,0;51,0;1,0;52,0;21,0;0,0;0,0;21,0;17,0;15,0;0,0;15,0;0,0;0,0;0,0;105,0;Very high human development;0,924;50,0;19,523809523809522;19,523809523809522;0,0;18,57142857142857;18,57142857142857;0,0;24,285714285714285;0,47619047619047616;24,76190476190476;10,0;0,0;0,0;10,0;8,095238095238095;7,142857142857142;0,0;7,142857142857142;0,0;0,0;0,0;1
Europe;Slovenia;2022;2,1;54,0;54,0;0,0;49,0;49,0;0,0;51,0;2,0;53,0;18,0;0,0;0,0;18,0;29,0;10,0;0,0;10,0;1,0;1,0;0,0;111,0;Very high human development;0,926;52,857142857142854;25,71428571428571;25,71428571428571;0,0;23,333333333333332;23,333333333333332;0,0;24,285714285714285;0,9523809523809523;25,238095238095237;8,571428571428571;0,0;0,0;8,571428571428571;13,809523809523808;4,761904761904762;0,0;4,761904761904762;0,47619047619047616;0,47619047619047616;0,0;1
Europe;Slovenia;2023;2,1;64,0;64,0;0,0;58,0;58,0;0,0;52,0;1,0;53,0;23,0;0,0;0,0;23,0;21,0;11,0;0,0;11,0;0,0;0,0;0,0;108,0;Very high human development;0,931;51,42857142857142;30,476190476190474;30,476190476190474;0,0;27,619047619047617;27,619047619047617;0,0;24,76190476190476;0,47619047619047616;25,238095238095237;10,952380952380953;0,0;0,0;10,952380952380953;10,0;5,238095238095238;0,0;5,238095238095238;0,0;0,0;0,0;1
Europe;Slovenia;2024;2,1;43,0;43,0;0,0;42,0;42,0;0,0;41,0;2,0;43,0;23,0;0,0;0,0;23,0;26,0;11,0;0,0;11,0;0,5;0,5;0,0;103,5;Very high human development;0,925;49,285714285714285;20,476190476190474;20,476190476190474;0,0;20,0;20,0;0,0;19,523809523809522;0,9523809523809523;20,476190476190474;10,952380952380953;0,0;0,0;10,952380952380953;12,38095238095238;5,238095238095238;0,0;5,238095238095238;0,23809523809523808;0,23809523809523808;0,0;1
Europe;Spain;2020;46,8;1777,0;1156,0;621,0;1581,0;1035,0;546,0;2443,0;259,0;2702,0;1023,0;0,0;11,0;1034,0;278,0;336,0;0,0;336,0;73,0;63,0;4,0;4427,0;Very high human development;0,901;94,5940170940171;37,97008547008547;24,700854700854702;13,26923076923077;33,782051282051285;22,115384615384617;11,666666666666668;52,200854700854705;5,534188034188035;57,73504273504274;21,85897435897436;0,0;0,23504273504273507;22,094017094017094;5,94017094017094;7,17948717948718;0,0;7,17948717948718;1,5598290598290598;1,3461538461538463;0,08547008547008547;1
Europe;Spain;2021;46,7;1905,0;1243,0;662,0;1690,0;1108,0;582,0;2627,0;323,0;2950,0;1077,0;0,0;1,0;1078,0;302,0;362,0;0,0;362,0;82,0;69,0;7,0;4781,0;Very high human development;0,912;102,37687366167023;40,79229122055674;26,616702355460383;14,175588865096358;36,188436830835116;23,725910064239827;12,462526766595289;56,2526766595289;6,916488222698073;63,16916488222698;23,06209850107066;0,0;0,021413276231263382;23,083511777301926;6,466809421841542;7,751605995717345;0,0;7,751605995717345;1,7558886509635974;1,4775160599571733;0,14989293361884368;1
Europe;Spain;2022;46,7;2196,0;1283,0;913,0;1949,0;1139,0;810,0;3054,0;350,0;3404,0;1154,0;0,0;5,0;1159,0;311,0;415,0;0,0;415,0;92,0;75,0;4,0;5385,0;Very high human development;0,911;115,31049250535331;47,023554603854386;27,473233404710918;19,550321199143468;41,734475374732334;24,389721627408992;17,344753747323338;65,39614561027837;7,494646680942184;72,89079229122055;24,710920770877944;0,0;0,1070663811563169;24,81798715203426;6,659528907922912;8,886509635974303;0,0;8,886509635974303;1,970021413276231;1,6059957173447537;0,08565310492505353;1
Europe;Spain;2023;47,5;2346,0;1296,0;1050,0;2076,0;1114,0;932,0;3255,0;435,0;3690,0;1260,0;0,0;2,0;1262,0;325,0;479,0;0,0;479,0;100,0;86,0;7,0;5863,0;Very high human development;0,918;123,43157894736842;49,38947368421053;27,28421052631579;22,105263157894736;43,705263157894734;23,45263157894737;19,621052631578948;68,52631578947368;9,157894736842104;77,6842105263158;26,526315789473685;0,0;0,042105263157894736;26,568421052631578;6,842105263157895;10,08421052631579;0,0;10,08421052631579;2,1052631578947367;1,8105263157894738;0,14736842105263157;1
Europe;Spain;2024;47,5;2562,0;1246,0;1316,0;2278,0;1129,0;1149,0;3651,0;398,0;4049,0;1336,0;0,0;7,0;1343,0;347,0;623,0;0,0;623,0;97,0;86,0;4,0;6463,0;Very high human development;0,9115;136,06315789473683;53,93684210526316;26,231578947368423;27,705263157894738;47,95789473684211;23,768421052631577;24,189473684210526;76,86315789473684;8,378947368421052;85,2421052631579;28,126315789473683;0,0;0,14736842105263157;28,273684210526316;7,3052631578947365;13,115789473684211;0,0;13,115789473684211;2,042105263157895;1,8105263157894738;0,08421052631578947;1
Europe;Sweden;2020;10,1;181,0;170,0;11,0;174,0;163,0;11,0;313,0;116,0;429,0;171,0;1,0;0,0;172,0;54,0;51,0;0,0;51,0;13,0;10,0;0,0;719,0;Very high human development;0,951;71,1881188118812;17,92079207920792;16,831683168316832;1,0891089108910892;17,22772277227723;16,13861386138614;1,0891089108910892;30,99009900990099;11,485148514851485;42,475247524752476;16,93069306930693;0,09900990099009901;0,0;17,02970297029703;5,346534653465347;5,0495049504950495;0,0;5,0495049504950495;1,2871287128712872;0,9900990099009901;0,0;1
Europe;Sweden;2021;10,2;197,0;170,0;27,0;192,0;165,0;27,0;327,0;118,0;445,0;169,0;0,0;1,0;170,0;66,0;51,0;0,0;51,0;13,0;9,0;2,0;747,0;Very high human development;0,958;73,23529411764706;19,31372549019608;16,666666666666668;2,647058823529412;18,823529411764707;16,176470588235293;2,647058823529412;32,05882352941177;11,568627450980394;43,62745098039216;16,568627450980394;0,0;0,09803921568627452;16,666666666666668;6,470588235294118;5,0;0,0;5,0;1,2745098039215688;0,8823529411764707;0,19607843137254904;1
Europe;Sweden;2022;10,2;213,0;166,0;47,0;206,0;159,0;47,0;366,0;99,0;465,0;166,0;0,0;0,0;166,0;55,0;50,0;0,0;50,0;18,0;16,0;1,0;755,0;Very high human development;0,959;74,01960784313727;20,88235294117647;16,27450980392157;4,6078431372549025;20,196078431372552;15,588235294117649;4,6078431372549025;35,88235294117647;9,705882352941178;45,58823529411765;16,27450980392157;0,0;0,0;16,27450980392157;5,392156862745098;4,901960784313726;0,0;4,901960784313726;1,7647058823529413;1,5686274509803924;0,09803921568627452;1
Europe;Sweden;2023;10,6;267,0;195,0;72,0;258,0;190,0;68,0;423,0;100,0;523,0;198,0;0,0;0,0;198,0;69,0;86,0;0,0;86,0;23,0;17,0;2,0;901,0;Very high human development;0,959;85,0;25,18867924528302;18,39622641509434;6,7924528301886795;24,339622641509436;17,92452830188679;6,415094339622642;39,905660377358494;9,433962264150944;49,339622641509436;18,67924528301887;0,0;0,0;18,67924528301887;6,5094339622641515;8,11320754716981;0,0;8,11320754716981;2,169811320754717;1,6037735849056605;0,18867924528301888;1
Europe;Sweden;2024;10,7;243,0;183,0;60,0;233,0;174,0;59,0;401,0;111,0;512,0;177,0;0,0;0,0;177,0;54,0;58,0;0,0;58,0;17,0;13,0;3,0;821,0;Very high human development;0,9584999999999999;76,72897196261682;22,71028037383178;17,102803738317757;5,607476635514019;21,77570093457944;16,261682242990656;5,514018691588785;37,476635514018696;10,373831775700936;47,85046728971963;16,542056074766357;0,0;0,0;16,542056074766357;5,046728971962617;5,420560747663552;0,0;5,420560747663552;1,5887850467289721;1,2149532710280375;0,28037383177570097;1
